,RIC,ISIN,Name,Sector,Country
0,INTU.O,US4612021034,Intuit Inc,Technology,USA
1,HL,US4227041062,Hecla Mining Co,Basic Materials,USA
2,GILG.DE,DE0005878003,DMG Mori AG,Industrials,Germany
3,APH,US0320951017,Amphenol Corp,Technology,USA
4,SGH.O,KYG8232Y1017,Smart Global Holdings Inc,Technology,USA
5,PMAG.S,AT0000KTMI02,PIERER Mobility AG,Consumer Cyclicals,Austria
6,RTX,US75513E1010,Raytheon Technologies Corp,Industrials,USA
7,SOLARb.CO,DK0010274844,Solar A/S,Industrials,Denmark
8,OBEL.BR,BE0003735496,Orange Belgium SA,Technology,Belgium
9,WIZZ.L,JE00BN574F90,Wizz Air Holdings PLC,Industrials,Switzerland
10,RYN,US7549071030,Rayonier Inc,Real Estate,USA
11,UPRO.MM,RU000A0JNGA5,Yunipro PAO,Utilities,Russia
12,CPT,US1331311027,Camden Property Trust,Real Estate,USA
13,STCK.L,GB00BF5SDZ96,Stock Spirits Group PLC,Consumer Non-Cyclicals,United Kingdom
14,TWNK.O,US44109J1060,Hostess Brands Inc,Consumer Non-Cyclicals,USA
15,DSV.CO,DK0060079531,Dsv A/S,Industrials,Denmark
16,DSMN.AS,NL0000009827,Koninklijke DSM NV,Basic Materials,Netherlands
17,CLNE.O,US1844991018,Clean Energy Fuels Corp,Energy,USA
18,TUIGn.DE,DE000TUAG000,Tui AG,Consumer Cyclicals,Germany
19,ROSNP.BX,ROSNPPACNOR9,OMV Petrom SA,Energy,Romania
20,LENV.VI,AT0000644505,Lenzing AG,Basic Materials,Austria
21,INFO.K,BMG475671050,IHS Markit Ltd,Industrials,United Kingdom
22,B4B.DE,DE000BFB0019,Metro AG,Consumer Non-Cyclicals,Germany
23,PHP.L,GB00BYRJ5J14,Primary Health Properties PLC,Real Estate,United Kingdom
24,HSW.L,GB00BYYN4225,Hostelworld Group PLC,Technology,Ireland
25,ENGP.WA,PLENERG00022,Energa SA,Utilities,Poland
26,GPOR.L,GB00BF5H9P87,Great Portland Estates PLC,Real Estate,United Kingdom
