,Total Current Assets,Total Current Liabilities,Total Debt,"Total Assets, Reported",Net Income - Actual,Revenue Per Share,Total Revenue,Total Equity,Total CO2 Equivalent Emissions To Revenues USD in million,Company Market Capitalization,"Property Plant And Equipment, Total - Gross",P/E (Daily Time Series Ratio),returns_yearly,Current Ratio,Debt-to-Equity Ratio,Return on Assets,Revenue Per Employee,Return on Equity,Asset Turnover Ratio,Net Income Margin,RIC,Year,ESG Score
0,-0.499467255254238,-0.45184467723613375,-0.3940116700083271,-0.6841108665087134,-0.40626548918563377,-0.6707628491608406,-0.4959171951098531,-0.8440527287296121,-0.4601749120231204,-0.5112172075878499,-0.5400496824045878,-0.4112582129169169,-0.26031352579684863,-0.3627353050623492,2.8289619893328397,0.5350622691455159,-0.30673903613639164,3.3585366290980194,0.3069303211729966,-0.08923088078127075,BVIC.L,2015,71.53369678
1,-0.5098357489555299,-0.23837633686129497,-0.33003586469826607,-0.6583344939681944,-0.440560015131122,-0.6982671339635649,-0.5211243559506515,-0.8262875910061515,-0.41334323811145646,-0.647943131494208,-0.4796979090177638,-0.7525041356025209,-1.3051841283011094,-0.8816675916842714,2.906096605752587,0.2751961687317019,0.01625457056673855,2.5024650502781673,0.06584781492220021,-0.1054293671909041,BVIC.L,2016,54.87737671
2,-0.5965171227969909,-0.3632957339920994,-0.3832098703351635,-0.6513668079910564,-0.37309963083464825,-0.6914543915710896,-0.5083252440631146,-0.7891914792775244,-0.43127272808546024,-0.49775031323876184,-0.4548663690019941,-0.29332132888732876,0.7117420780757202,-0.8831286216133706,1.7500222203303966,0.49298816981379984,-0.3517683691966697,2.2247080664754706,0.08729337978444959,0.019531899111390215,BVIC.L,2017,68.47316366
3,-0.555096420835752,-0.30698935792832466,-0.3359501683949692,-0.6283369616879649,-0.36411164915961414,-0.6868884134224005,-0.49911626806170384,-0.7739214098238142,-0.4569358619745641,-0.5265322054897583,-0.4409404369485482,-0.3789510526675127,-0.5204528935751402,-0.8764697333090162,1.8318427711050351,0.41790972854394065,-0.28278323134415123,2.0166754654458847,0.024181028089099547,0.01471533899332894,BVIC.L,2018,63.60917687
4,-0.595259071045139,-0.3263607234708345,-0.41162313275319856,-0.6550021597674807,-0.3253948414217495,-0.6962630605948658,-0.5121749053927649,-0.7661250279671425,-0.4446221542632558,-0.458138481124061,-0.4847913363542478,0.4766484429047719,-0.05876903584123414,-0.946094824991716,1.2647237583605797,0.6879345889222201,-0.41879101337338126,2.1377242358692343,0.08798825757293666,0.14251615101515572,BVIC.L,2019,67.86225756
5,-0.5798897078599995,-0.41412179853593517,-0.3548013546895131,-0.6451200682103351,-0.46195971279801207,-0.7062714908984895,-0.528229628513554,-0.776622038221164,-0.4645421945269725,-0.48959204113209814,-0.45179018041087055,-0.02799660296333123,-0.6798726568095537,-0.7256321990435881,1.7514112879963253,0.14179642948205212,-0.39793794402441895,1.4110624190105103,-0.021498493534051383,-0.13905677013174264,BVIC.L,2020,72.03787925
6,-0.56828059832222,-0.4086658989997877,-0.39227151493264933,-0.6209410354217503,-0.45110228790780893,-0.6974555140682683,-0.5133750426131798,-0.7484489016287832,-0.49804866587017876,-0.4383714945873387,-0.5254168319308345,0.03728856957251262,-0.14643251600368448,-0.7035963721527996,1.1889520852913809,0.09017714211097205,-0.4469453305784732,1.1371419632931572,-0.06027240519128538,-0.14992085887729278,BVIC.L,2021,76.71903875
7,-0.49719143525736276,-0.6257112390530278,-0.6934381833298486,-0.6468597487395187,-0.37658691770738323,-0.3405485899106933,-0.6089374017257122,-0.4663752325665338,-0.4952812440145621,-0.25014185839430747,-0.5839615655308842,0.07746394335340144,0.6979587998869102,0.5727141068390904,-0.8339600456906062,0.45853221156191154,-0.7177607445823669,-0.027189718829121304,-0.34321393474369066,0.38169773107230015,IPN.PA,2009,36.81685011
8,-0.5116858785906053,-0.6262792627389054,-0.7840917158232962,-0.6345865059300082,-0.30383329800107123,-0.2840864291053877,-0.5783549453986234,-0.3964035577735483,-0.11570784037175923,-0.5448041032707642,-0.5665417067058482,-0.6468655813986524,-2.0502011371483526,0.5020205892535801,-1.066367248222912,0.657965818013978,-0.39402427221993513,-0.016371625402186177,-0.26250183174010816,0.4500347325564267,IPN.PA,2010,29.67875058
9,-0.5511940413411202,-0.6237803579773803,-0.7915668624572529,-0.6367592517063607,-0.36119282912513206,-0.2960429302672374,-0.5841884896332052,-0.3822802520660685,-0.5364577198760385,-0.534684834437132,-0.5595646652854381,-0.36291745774351,-0.12025096196710788,0.2776225300300787,-1.0834260959564872,0.4662830077157523,-0.42243104064791615,-0.175744272926887,-0.2780860621814976,0.31406522422109284,IPN.PA,2011,38.7171354
