Total Current Assets,Total Current Liabilities,Total Debt,"Total Assets, Reported",Net Income - Actual,Total Revenue,Total Equity,"Property Plant And Equipment, Total - Gross",Total CO2 Equivalent Emissions To Revenues USD in million,Company Market Capitalization,Revenue Per Share,P/E (Daily Time Series Ratio),returns_yearly,RIC,Year,ESG Score
434.3734048,483.8246554,718.9573762,1361.504594,107.3094088,1561.383359,-3.988004084,817.381317,,1430.56133,7.068281389,19.29990539,48.651107590999985,BVIC.L,2009,51.26713492
579.7789059,580.0952065,901.2984138,1655.358922,139.6560871,1800.699024,-48.55213424,889.1208426,,1772.376566,8.006665292,16.92789969,15.557061306000001,BVIC.L,2010,50.55024169
598.9684778,607.6943453,893.1548686,1660.096296,122.2555282,2010.689188,35.05928915,836.2809106,,1205.126197,7.912983817,13.53443561,-33.927687745,BVIC.L,2011,46.73286963
615.5238742,601.1379433,907.121844,1658.099764,100.7657557,2030.84085,59.96831862,872.046035,,1603.272359,7.914422641,18.36357072,27.226920137,BVIC.L,2012,57.9413427
748.2290675,814.0641892,895.8740096,1714.940377,133.9191621,2133.025672,65.99648234,907.6533329,31.29650336,2819.919676,8.716900991,27.42139859,56.909555495,BVIC.L,2013,49.51324276
828.6628653,705.5249606,916.7113407,1790.210699,157.7426537,2183.992072,134.9968322,923.5342853,27.77912852,2600.057241,8.824210394,18.65114479,-1.5438481979999992,BVIC.L,2014,56.48656097
958.0701967,697.4131649,877.6111246,1972.158125,174.1011329,1973.676221,321.5326694,901.4452271,30.71113069,2810.45518,7.841383474,17.69857682,8.345248148000001,BVIC.L,2015,71.53369678
937.5770394,1011.275318,1014.64883,2120.642005,161.3024233,1857.118761,364.5988764,1153.222353,37.88002644,1839.323904,7.055922343,13.02789394,-22.892889914,BVIC.L,2016,54.87737671
766.2527294,827.6065319,900.7488379,2160.779113,186.478624,1916.301625,454.5271872,1256.815229,35.13541721,2906.107284,7.250479096,19.31279621,37.40646116800002,BVIC.L,2017,68.47316366
848.1200657,910.3937049,1001.98025,2293.441726,189.8329368,1958.883765,491.5448553,1314.911801,31.20695777,2701.676442,7.380873265,18.14076965,0.5679506850000022,BVIC.L,2018,63.60917687
768.739248,881.9120177,839.8869501,2139.837798,204.282041,1898.50086,510.4448267,1131.973458,33.09191467,3187.460578,7.113154216,29.85148515,14.370754644000002,BVIC.L,2019,67.86225756
799.1165416,752.877052,961.600558,2196.763236,153.3160608,1824.264108,484.997998,1269.648554,30.04259612,2964.053524,6.827335732,22.94433456,-4.198167303000002,BVIC.L,2020,72.03787925
822.0617557,760.8988522,881.3385784,2336.045697,157.3680494,1892.951447,553.2952525,,24.91349481,3327.860718,7.0791004,23.83790227,11.749909642,BVIC.L,2021,76.71903875
962.5683175,441.7774423,236.2323702,2186.741868,185.1771693,1451.072811,1237.097608,718.2524706,,4664.810446,17.27156744,24.38778849,36.994387227000004,IPN.PA,2009,36.81685011
933.9202886,440.942278,42.05033499,2257.441448,212.3288043,1592.485541,1406.722785,790.9250988,,2571.895557,18.88400103,14.47378429,-45.166407922000005,IPN.PA,2010,29.67875058
