RIC,Date,Total Current Assets,Total Current Liabilities,Total Debt,"Total Assets, Reported",Net Income - Actual,Revenue Per Share,Total Revenue,Total Equity,Total CO2 Equivalent Emissions To Revenues USD in million,ESG Score,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Company Market Capitalization,"Property Plant And Equipment, Total - Gross",P/E (Daily Time Series Ratio),Year,returns_yearly
BVIC.L,2009-12-31,434.3734048,483.8246554,718.9573762,1361.504594,107.3094088,7.068281389,1561.383359,-3.988004084,,51.26713492,45.53975389,59.07765067,53.53505291,1430.56133,817.381317,19.29990539,2009,48.651107590999985
BVIC.L,2010-12-31,579.7789059,580.0952065,901.2984138,1655.358922,139.6560871,8.006665292,1800.699024,-48.55213424,,50.55024169,57.62288843,31.89095928,55.26146743,1772.376566,889.1208426,16.92789969,2010,15.557061306000001
BVIC.L,2011-12-31,598.9684778,607.6943453,893.1548686,1660.096296,122.2555282,7.912983817,2010.689188,35.05928915,,46.73286963,57.39799269,28.92494172,45.22949596,1205.126197,836.2809106,13.53443561,2011,-33.927687745
BVIC.L,2012-12-31,615.5238742,601.1379433,907.121844,1658.099764,100.7657557,7.914422641,2030.84085,59.96831862,,57.9413427,70.63303988,37.21690213,55.76285909,1603.272359,872.046035,18.36357072,2012,27.226920137
BVIC.L,2013-12-31,748.2290675,814.0641892,895.8740096,1714.940377,133.9191621,8.716900991,2133.025672,65.99648234,31.29650336,49.51324276,52.7789374,33.1461067,58.14814815,2819.919676,907.6533329,27.42139859,2013,56.909555495
BVIC.L,2014-12-31,828.6628653,705.5249606,916.7113407,1790.210699,157.7426537,8.824210394,2183.992072,134.9968322,27.77912852,56.48656097,51.95645834,53.17360771,66.1893182,2600.057241,923.5342853,18.65114479,2014,-1.5438481979999992
BVIC.L,2015-12-31,958.0701967,697.4131649,877.6111246,1972.158125,174.1011329,7.841383474,1973.676221,321.5326694,30.71113069,71.53369678,70.56274877,61.69928099,81.21693122,2810.45518,901.4452271,17.69857682,2015,8.345248148000001
BVIC.L,2016-12-31,937.5770394,1011.275318,1014.64883,2120.642005,161.3024233,7.055922343,1857.118761,364.5988764,37.88002644,54.87737671,45.42121164,66.52798477,59.65923406,1839.323904,1153.222353,13.02789394,2016,-22.892889914
BVIC.L,2017-12-31,766.2527294,827.6065319,900.7488379,2160.779113,186.478624,7.250479096,1916.301625,454.5271872,35.13541721,68.47316366,70.10945474,56.9193806,75.59385163,2906.107284,1256.815229,19.31279621,2017,37.40646116800002
BVIC.L,2018-12-31,848.1200657,910.3937049,1001.98025,2293.441726,189.8329368,7.380873265,1958.883765,491.5448553,31.20695777,63.60917687,66.47551681,40.41467305,78.5455295,2701.676442,1314.911801,18.14076965,2018,0.5679506850000022
BVIC.L,2019-12-31,768.739248,881.9120177,839.8869501,2139.837798,204.282041,7.113154216,1898.50086,510.4448267,33.09191467,67.86225756,75.60506588,38.79132857,80.22289488,3187.460578,1131.973458,29.85148515,2019,14.370754644000002
BVIC.L,2020-12-31,799.1165416,752.877052,961.600558,2196.763236,153.3160608,6.827335732,1824.264108,484.997998,30.04259612,72.03787925,74.18832022,56.59200715,81.61408767,2964.053524,1269.648554,22.94433456,2020,-4.198167303000002
BVIC.L,2021-12-31,822.0617557,760.8988522,881.3385784,2336.045697,157.3680494,7.0791004,1892.951447,553.2952525,24.91349481,76.71903875,76.19869196,59.41237404,91.9386426,3327.860718,,23.83790227,2021,11.749909642
IPN.PA,2009-12-31,962.5683175,441.7774423,236.2323702,2186.741868,185.1771693,17.27156744,1451.072811,1237.097608,,36.81685011,30.9396162,59.90865077,17.30512135,4664.810446,718.2524706,24.38778849,2009,36.994387227000004
IPN.PA,2010-12-31,933.9202886,440.942278,42.05033499,2257.441448,212.3288043,18.88400103,1592.485541,1406.722785,,29.67875058,37.25655152,11.1791712,39.46280992,2571.895557,790.9250988,14.47378429,2010,-45.166407922000005
IPN.PA,2011-12-31,855.8330546,444.6164136,26.03839208,2244.925423,190.9222398,18.54254998,1565.511337,1440.960471,,38.7171354,39.2518238,33.34160463,44.95777447,2643.770284,820.0321049,18.36022381,2011,12.532650584
IPN.PA,2012-12-31,819.0938511,479.4951456,26.84271845,2116.064725,166.9486896,18.76899641,1566.563107,1295.91068,,42.5493968,43.23053386,30.50179211,57.58987389,2531.81882,,23.28065585,2012,-0.6106675179999996
IPN.PA,2013-12-31,800.0171522,576.5291851,26.703346,2060.737281,191.158116,20.26813288,1685.40875,1190.782668,16.35341262,43.38695012,42.53588591,31.50537634,61.32346189,3978.236966,854.0518788,32.91572081,2013,46.870549582
IPN.PA,2014-12-31,827.2328669,517.1413256,30.1619155,2151.540809,211.8614826,21.18517437,1761.827528,1335.320395,18.2882006,46.72959981,49.2610439,20.59649123,77.20688075,4309.153619,912.9298733,22.79740004,2014,27.489831807999998
IPN.PA,2015-12-31,812.4357346,496.2196818,12.21798827,2072.582109,201.3718873,19.60351502,1611.80669,1288.574366,17.21628176,52.62090208,57.18544698,25.60137457,80.16372307,5513.276335,851.6300732,36.03475877,2015,40.194172615
IPN.PA,2016-12-31,879.551699,501.1891704,17.48460594,2104.668716,249.590351,19.99555941,1650.937761,1327.635451,15.83989344,50.73200436,54.64030636,22.16494845,81.72243487,6034.207587,859.2434921,24.3501315,2016,15.43489557
IPN.PA,2017-12-31,1104.289319,590.0967199,319.7014298,2547.834315,278.862124,21.23132157,1756.833474,1428.616484,11.48193978,62.29068211,76.84629375,18.82456444,91.90008855,9996.634381,871.8460892,38.34142622,2017,42.087351455000004
IPN.PA,2018-12-31,1219.275201,1129.784911,434.4957474,3685.176521,452.8061224,29.07020567,2413.358765,1829.872482,10.09883507,64.48114132,79.70989861,22.45915033,90.74949488,10845.22358,1049.891436,27.17064174,2018,16.817257222000002
IPN.PA,2019-12-31,1359.757776,1100.100927,384.897697,3873.520506,555.8003683,32.3618843,2693.366364,2111.546931,10.1476538,69.98973854,78.43965358,40.39861111,93.12137331,7422.536101,1071.77264,16.22746385,2019,-26.632044096
IPN.PA,2020-12-31,1509.427617,1628.253705,1135.79804,4828.038473,610.1830874,36.32745148,3018.631034,1962.984553,7.723141075,71.70211015,79.36758215,44.06218203,93.77161843,6950.422955,1312.355671,,2020,1.3490015169999978
IPN.PA,2021-12-31,1928.187592,1481.558378,1063.507572,5267.464582,739.3213186,39.31370784,3280.654617,2602.711285,7.425103685,69.28031541,78.24583169,38.17066913,93.43192487,7670.087696,1461.284807,10.92025905,2021,21.987113691
SLRS.MC,2018-12-31,41.75453749,16.63367762,260.6674584,336.9525318,18.68573705,0.348619192,37.33640431,66.81541728,,15.39082948,23.68505308,13.8034188,9.981958885,568.2060548,,16.74762408,2018,138.877465271
SLRS.MC,2019-12-31,121.9504083,19.40086246,247.3988439,452.644738,24.30238515,0.332057237,38.75470227,196.0202771,5.258870632,17.26454144,23.44276815,18.97119342,11.53610219,952.4762424,,46.43857133,2019,63.5243607
SLRS.MC,2020-12-31,154.8550546,90.8167612,394.9297132,673.1901442,26.2532169,0.309876718,38.71936865,216.6423783,3.987468833,49.21553417,56.98464449,21.71973609,59.44844868,3607.521628,,84.40746956,2020,139.75692304700002
SLRS.MC,2021-12-31,128.9826575,105.5776746,513.3317049,873.8483146,36.64293201,0.520633986,65.05373718,271.7562286,2.914615641,58.38978416,68.75004105,30.57598978,66.82829029,2422.164723,,49.91108131,2021,-50.561946997999996
GRLS.MC,2009-12-31,875.8613942,443.8545729,641.6740051,1649.737913,154.958946,2.235769817,1140.045568,670.9844704,44.19944773,34.35739208,29.44575437,36.3115942,41.70189331,3355.786511,646.4097511,19.876021,2009,8.895950595999999
GRLS.MC,2010-12-31,1438.152093,428.1094314,1169.869152,2372.41167,200.5747282,2.582584036,1309.381263,810.8157247,40.81778746,47.04055244,32.36702118,58.73015873,61.00305832,2598.833186,797.9886045,17.68833734,2010,-8.299411932
GRLS.MC,2011-12-31,1530.442111,566.0169888,1146.438365,2526.897198,182.9063604,2.57330963,1325.871179,927.0818005,85.08484374,38.45039644,32.42341448,34.61668355,55.96044542,4683.646653,877.9278978,47.29117447,2011,34.637052305
GRLS.MC,2012-12-31,2497.365696,836.3456311,3827.849838,7300.970874,194.8952791,3.772961741,2324.418123,2152.112621,53.96365903,43.99401352,35.78038141,39.49232159,66.87107096,10681.99427,1360.908738,50.52518592,2012,83.330443379
GRLS.MC,2013-12-31,2552.46464,782.2263563,3800.076525,7424.891809,401.8644001,5.045320502,3458.074731,2476.208571,49.90273831,43.78293679,40.91801745,31.94304011,65.76660878,14831.75592,1508.132784,39.04688097,2013,30.939226984
GRLS.MC,2014-12-31,2940.9517,983.1706848,3851.220551,8028.474036,616.8896504,5.533682702,3768.496578,2888.173846,47.42119228,57.32242206,42.87037053,67.06879845,73.48343805,12971.87035,1704.922066,27.06722675,2014,-0.11275195700000129
GRLS.MC,2015-12-31,3524.008952,1306.128349,5181.086312,10221.67665,669.4059428,5.92258563,4059.014093,3215.5362,46.47549462,53.05202784,47.43145535,48.5858156,70.59636272,14110.64468,2013.71076,27.42043379,2015,30.660472428000002
GRLS.MC,2016-12-31,3355.167733,1143.564905,5167.406957,10427.46604,667.6957864,3.115934425,4272.936871,3579.677675,50.53375266,56.72943272,57.28253317,44.55,72.21059839,12636.98421,2506.614828,36.40921801,2016,-9.001234854000002
GRLS.MC,2017-12-31,3282.710261,1126.748318,5135.660219,10649.46594,659.1372947,6.223008005,4257.600925,3912.406434,41.60765422,59.02174496,59.21306146,47.44539411,74.41779811,18448.93749,2753.044575,29.05835465,2017,29.092951712999998
GRLS.MC,2018-12-31,3533.206176,1173.194899,7211.099915,13099.96761,716.8739484,7.570353096,5179.967851,4353.449455,42.46861346,65.49714275,71.60629568,48.10695311,76.76132455,16031.02767,3167.346841,22.31512069,2018,-2.8415325719999993
GRLS.MC,2019-12-31,3994.920406,1442.014176,7204.362786,14309.85182,773.7262794,7.503400838,5145.79778,4846.263419,42.69098744,74.49916224,87.17804299,55.45882101,74.62524178,21109.45658,3505.66107,39.30518733,2019,35.913997866
GRLS.MC,2020-12-31,6011.012712,1531.912652,7184.882183,17423.27982,789.9830632,8.320023639,5715.636841,5405.599399,36.65113412,73.96321615,87.03467568,41.92340792,91.01581363,17351.19049,4716.630047,22.59887006,2020,-24.659403765
GRLS.MC,2021-12-31,3865.356619,1630.603322,8864.54934,18655.07572,889.1250015,9.513691895,6521.78554,6238.876404,47.2222569,75.72461539,87.43714023,46.84163474,91.24179216,11134.95652,5462.381534,17.10176946,2021,-9.104937321
CPT,2009-12-31,,,2832.396,4730.342,70.973,11.07989579,612.408,1411.494,,26.31964144,31.62751186,52.04238921,0.0,2587.323099,5191.646,,2009,53.442261191
CPT,2010-12-31,,,2625.199,4607.999,-50.8,9.664170368,602.648,1530.411,,27.82776634,35.35372048,53.22745902,0.0,3527.538078,5260.045,,2010,31.634883351
CPT,2011-12-31,,,2563.754,4699.737,13.602,8.279967351,568.072,1686.419,,37.29516681,37.05071153,46.98238617,29.18856422,4226.071686,5440.758,811.2847584,2011,21.062816606
CPT,2012-12-31,,,2432.112,4622.075,22.546,8.159334078,599.401,1758.717,,49.87802167,44.0194421,69.96303763,37.37705535,5459.484115,5519.67,48.40871982,2012,13.694334056999999
CPT,2013-12-31,,,2510.468,5385.172,283.39,8.162116041,698.318,2563.099,,48.51798349,47.84223873,65.9829932,34.09178882,4857.587536,6339.451,29.29476243,2013,-12.523807017
CPT,2014-12-31,,,2530.766,5632.141,336.364,8.914174972,788.851,2691.536,,42.50870552,40.97526712,54.27157967,33.66029476,6070.496861,6599.615,41.16523111,2014,31.700401732
CPT,2015-12-31,,,2730.613,6043.981,146.41,8.932755347,790.263,2815.602,,44.7444452,49.38000219,51.46707608,35.25167049,6344.352811,6893.92,18.60506433,2015,9.147008815
CPT,2016-12-31,,,2724.687,6037.612,249.315,9.337557269,835.618,2816.557,,50.3843151,56.48908929,56.86478758,39.91673469,7354.423759,6900.679,16.98740746,2016,19.249181382
CPT,2017-12-31,,,2480.588,6028.152,819.823,9.748807048,876.447,3014.873,,51.57488706,55.44178082,59.97298066,41.26459232,8531.673665,6934.398,56.19342355,2017,12.867955390999999
CPT,2018-12-31,,,2204.598,6173.748,196.422,9.737837108,900.896,3405.363,,49.1934597,53.78661235,56.50345687,39.23135356,8200.556297,7290.512,41.43022501,2018,0.3417305739999996
CPT,2019-12-31,,,2321.603,6219.586,156.128,10.0088606,954.505,3311.423,,45.53352492,48.13177665,55.50533377,34.89528618,10273.83944,8034.497,63.70421072,2019,22.619722483
CPT,2020-12-31,,,2524.099,6748.504,181.717,10.34835587,1028.461,3628.685,152.9460038,51.32307371,69.14839506,54.99201258,33.83312939,9731.764255,8603.474,52.8319445,2020,2.610701603999998
