Date,RIC,market_cap
2009-12-31,INTU.O,9725.103955
2010-12-31,INTU.O,15012.13545
2011-12-31,INTU.O,15632.30503
2012-12-31,INTU.O,17613.22885
2013-12-31,INTU.O,21743.76399
2014-12-31,INTU.O,26322.51647
2015-12-31,INTU.O,25476.41785
2016-12-31,INTU.O,29416.79168
2017-12-31,INTU.O,40336.42544
2018-12-31,INTU.O,51084.26161
2019-12-31,INTU.O,68182.11586
2020-12-31,INTU.O,99804.00087
2021-12-31,INTU.O,147335.8266
2009-12-31,HL,1473.356756
2010-12-31,HL,2886.620851
2011-12-31,HL,1462.417783
2012-12-31,HL,1664.465863
2013-12-31,HL,1055.326213
2014-12-31,HL,1024.98183
2015-12-31,HL,714.6332676
2016-12-31,HL,2071.303225
2017-12-31,HL,1584.104271
2018-12-31,HL,1133.270532
2019-12-31,HL,1679.882271
2020-12-31,HL,3441.024517
2021-12-31,HL,2953.370926
2009-12-31,GILG.DE,740.166959
2010-12-31,GILG.DE,1010.969308
2011-12-31,GILG.DE,759.4050087
2012-12-31,GILG.DE,1212.476321
2013-12-31,GILG.DE,2518.54649
2014-12-31,GILG.DE,2251.045415
2015-12-31,GILG.DE,3280.206789
2016-12-31,GILG.DE,3576.308475
2017-12-31,GILG.DE,4351.200302
2018-12-31,GILG.DE,3882.482304
2019-12-31,GILG.DE,3737.478497
2020-12-31,GILG.DE,3982.860247
2021-12-31,GILG.DE,3852.069068
2009-12-31,APH,7919.73714
2010-12-31,APH,9216.00162
2011-12-31,APH,7522.904558
2012-12-31,APH,10374.1459
2013-12-31,APH,14115.506
2014-12-31,APH,16652.33629
2015-12-31,APH,16100.48514
2016-12-31,APH,20729.74781
2017-12-31,APH,26808.77263
2018-12-31,APH,24413.52472
2019-12-31,APH,32089.29745
2020-12-31,APH,39120.46679
2021-12-31,APH,43805.10476
2009-12-31,SGH.O,0.0
2010-12-31,SGH.O,0.0
2011-12-31,SGH.O,0.0
2012-12-31,SGH.O,0.0
2013-12-31,SGH.O,0.0
2014-12-31,SGH.O,0.0
2015-12-31,SGH.O,0.0
2016-12-31,SGH.O,0.0
2017-12-31,SGH.O,733.0050941
2018-12-31,SGH.O,678.5063307
2019-12-31,SGH.O,904.4287822
2020-12-31,SGH.O,932.1917338
2021-12-31,SGH.O,1079.601773
2009-12-31,PMAG.S,26.90375389
2010-12-31,PMAG.S,19.14760048
2011-12-31,PMAG.S,16.891414
2012-12-31,PMAG.S,12.19927481
2013-12-31,PMAG.S,37.80421925
2014-12-31,PMAG.S,34.39684253
2015-12-31,PMAG.S,911.3999403
2016-12-31,PMAG.S,1208.207525
2017-12-31,PMAG.S,1716.876971
2018-12-31,PMAG.S,1366.089592
2019-12-31,PMAG.S,1226.491497
2020-12-31,PMAG.S,1818.955416
2021-12-31,PMAG.S,1960.199183
2009-12-31,RTX,65074.61093
2010-12-31,RTX,72690.60644
2011-12-31,RTX,66225.94773
2012-12-31,RTX,75165.81674
